SECTORES,ALCALDIA,Alcaldia_Camello
ABASTO-REFORMA,IZTAPALAPA,Iztapalapa
ALAMEDA,CUAUHTEMOC,Cuauhtémoc
ALPES,ALVARO OBREGON,Álvaro Obregón
ANGEL,CUAUHTEMOC,Cuauhtémoc
ARAGON,GUSTAVO A MADERO,Gustavo A Madero
ARENAL,VENUSTIANO CARRANZA,Venustiano Carranza
ASTURIAS,CUAUHTEMOC,Cuauhtémoc
BUENAVISTA,CUAUHTEMOC,Cuauhtémoc
CENTRO,CUAUHTEMOC,Cuauhtémoc
CHAPULTEPEC,MIGUEL HIDALGO,Miguel Hidalgo
CHURUBUSCO,IZTAPALAPA,Iztapalapa
CLAVERIA,AZCAPOTZALCO,Azcapotzalco
COAPA,TLALPAN,Tlalpan
CONGRESO,VENUSTIANO CARRANZA,Venustiano Carranza
CONSULADO,VENUSTIANO CARRANZA,Venustiano Carranza
COYOACAN,COYOACAN,Coyoacán
CUAJIMALPA,CUAJIMALPA,Cuajimalpa
CUAUTEPEC,GUSTAVO A MADERO,Gustavo A Madero
CUCHILLA,GUSTAVO A MADERO,Gustavo A Madero
CUITLAHUAC,AZCAPOTZALCO,Azcapotzalco
CULHUACAN,COYOACAN,Coyoacán
DEL VALLE,BENITO JUAREZ,Benito Juárez
DINAMO,MAGDALENA CONTRERAS,Magdalena Contreras
EL YAQUI,CUAJIMALPA,Cuajimalpa
ESTRELLA,IZTAPALAPA,Iztapalapa
FUENTE,TLALPAN,Tlalpan
GRANJAS,IZTAPALAPA,Iztapalapa
HORMIGA,AZCAPOTZALCO,Azcapotzalco
HUIPULCO-HOSPITALES,TLALPAN,Tlalpan
IZTACCIHUATL,IZTACALCO,Iztacalco
LA NORIA,XOCHIMILCO,Xochimilco
LA RAZA,AZCAPOTZALCO,Azcapotzalco
LINDAVISTA,GUSTAVO A MADERO,Gustavo A Madero
MERCED-BALBUENA,VENUSTIANO CARRANZA,Venustiano Carranza
MILPA ALTA,MILPA ALTA,Milpa Alta
MIXQUIC,TLAHUAC,Tlahuac
MOCTEZUMA,VENUSTIANO CARRANZA,Venustiano Carranza
MORELOS,CUAUHTEMOC,Cuauhtémoc
NA,NA,Na
NAPOLES,BENITO JUAREZ,Benito Juárez
NARVARTE-ALAMOS,BENITO JUAREZ,Benito Juárez
NATIVITAS,BENITO JUAREZ,Benito Juárez
OASIS,IZTAPALAPA,Iztapalapa
PADIERNA,TLALPAN,Tlalpan
PANTITLAN,IZTACALCO,Iztacalco
PLATEROS,ALVARO OBREGON,Álvaro Obregón
POLANCO-CASTILLO,MIGUEL HIDALGO,Miguel Hidalgo
PORTALES,BENITO JUAREZ,Benito Juárez
PRADERA,GUSTAVO A MADERO,Gustavo A Madero
QUETZAL,IZTAPALAPA,Iztapalapa
QUIROGA,GUSTAVO A MADERO,Gustavo A Madero
ROMA,CUAUHTEMOC,Cuauhtémoc
SAN ANGEL,ALVARO OBREGON,Álvaro Obregón
SAN JERONIMO,MAGDALENA CONTRERAS,Magdalena Contreras
SANTA CRUZ,IZTAPALAPA,Iztapalapa
SANTA FE,ALVARO OBREGON,Álvaro Obregón
SOTELO,MIGUEL HIDALGO,Miguel Hidalgo
TACUBA,MIGUEL HIDALGO,Miguel Hidalgo
TACUBAYA,MIGUEL HIDALGO,Miguel Hidalgo
TAXQUEÑA,COYOACAN,Coyoacán
TECOMITL,MILPA ALTA,Milpa Alta
TEOTONGO,IZTAPALAPA,Iztapalapa
TEPEPAN,XOCHIMILCO,Xochimilco
TEPEYAC,GUSTAVO A MADERO,Gustavo A Madero
TEZONCO,IZTAPALAPA,Iztapalapa
TICOMAN,Gustavo A Madro,Gustavo A Madero
TLACOTAL,IZTACALCO,Iztacalco
TLATELOLCO,CUAUHTEMOC,Cuauhtémoc
TOPILEJO,TLALPAN,Tlalpan
UNIVERSIDAD,COYOACAN,Coyoacán
XOTEPINGO,COYOACAN,Coyoacán
ZAPOTITLA,TLAHUAC,Tlahuac
ZARAGOZA,VENUSTIANO CARRANZA,Venustiano Carranza
